pdbFile,bindingMOAD_id,name,ligand_id,measurement,symbol,magnitude,units
6PYZ,11,H7S,20,ic50,=,424,uM
6PYY,13,H7S,20,ic50,=,424,uM
3K47,16,D09,27,ic50,=,14.5,uM
3K45,19,51P,29,ic50,=,3.9,uM
1U70,20,MTX,30,Ki,=,230,nM
1WDN,21,GLN,31,Kd,=,0.5,uM
6V74,29,ASN,45,Kd,=,27,uM
6WP5,32,FBP,38,Kd,=,1,uM
1GWV,42,UDP,55,Kd,=,0.053,mM
1GWV,42,BGC GAL,56,Kd,=,2.68,mM
1O7Q,43,UDP,55,Kd,=,0.032,mM
1GX4,45,UDP,55,Kd,=,0.053,mM
1GX4,45,NAG GAL,57,Kd,=,0.58,mM
2VFZ,48,UPF,61,Ki,=,245,uM
1O7O,50,UDP,55,Kd,=,0.032,mM
1O7O,50,BGC GAL,56,Kd,=,2.69,mM
1VZT,56,UDP,55,Kd,~,0.032,mM
1GWW,62,UDP GLC,69,Kd,=,0.258,mM
3MRT,63,12E,70,ic50,=,200,uM
1AXR,64,HTP,71,Ki,=,540,uM
3MQF,66,20X,74,ic50,=,5.7,uM
3MS7,67,22S,75,ic50,=,370,uM
4EKY,68,D1J,76,Ki,=,303,uM
1C50,69,CHI,77,ic50,=,334,nM
6F3R,70,CKZ,78,Ki,=,1.19,uM
5MCB,71,CGG,79,Ki,=,2.5,mM
3L7D,72,DK5,80,Ki,=,6.55,mM
1WUY,73,BN3,81,ic50,=,1.6,uM
2PRI,74,D6G,82,Ki,=,1.23,mM
6Y5O,75,O9Z,83,Ki,=,3.89,uM
1NOK,76,NTZ,84,Ki,=,700,uM
1WV0,77,BN4,85,ic50,=,2.9,uM
1E1Y,79,CPB,88,ic50,=,2.5,uM
1B4D,80,CRA,91,Ki,=,15.6,uM
6R0I,81,JNB,92,Ki,=,9.7,uM
4MI6,82,26V,93,Ki,=,48.68,uM
2QRM,83,M09,94,Ki,=,92.5,uM
3G2I,84,RUG,95,Ki,=,13.7,uM
1XL0,85,OX2,96,Ki,=,145.2,uM
1GPY,87,G6P,99,Kd,~,25,uM
2GJ4,88,2TH,100,ic50,=,319,nM
1P4G,90,CGF,102,Ki,=,1.8,mM
1Z6Q,91,195,103,ic50,=,74,nM
3NC4,92,26O,104,ic50,=,26.6,uM
2AMV,93,BIN,105,Ki,=,1.6,nM
3MS4,94,21N,106,ic50,=,524.3,uM
3L79,95,DKX,107,Ki,=,3.46,mM
2QRH,96,M08,108,Ki,=,19.6,uM
1WW3,97,NTF,109,Ki,=,75,uM
3MTD,98,25E,110,ic50,=,340.5,uM
1WUT,102,BN2,114,ic50,=,1.9,uM
2G9U,103,G27,115,ic50,=,0.84,uM
6F3U,104,CNK,116,Ki,=,11.5,uM
4CTN,105,M8P,117,Ki,=,10,uM
2GM9,106,3TH,119,ic50,=,41,nM
6S52,107,KVN,120,Ki,=,162.3,uM
1NOI,108,NTZ,84,Ki,=,700,uM
4MHO,109,26M,121,Ki,=,8.25,uM
3MT9,110,18O,122,ic50,=,25.7,uM
4CTM,111,MIF,123,Ki,=,24,uM
3SYR,112,GPK,124,Ki,=,7.9,uM
6S4O,113,KV5,125,Ki,=,4.58,uM
3NP7,115,Z15,127,ic50,=,95,uM
3NP7,115,Z16,128,ic50,=,140,uM
2F3Q,116,6GP,129,Ki,=,0.22,mM
4YUA,117,REF,130,Ki,=,13.4,uM
2IEI,118,FRX,131,ic50,=,0.121,uM
4EL0,119,D1K,132,Ki,=,32.4,uM
1WW2,120,NBG,133,Ki,=,32,uM
4EL5,121,D1M,134,Ki,=,4.7,uM
4MI3,122,26R,135,Ki,=,75.29,uM
3L7C,123,DK4,136,Ki,=,3.67,mM
6S4R,124,KVH,137,Ki,=,26.2,uM
3T3E,126,GPQ,139,Ki,=,1.02,uM
